College,Year,Credit Enrollment Count,Credit Success Count,Degree Applicable Enrollment Count,Degree Applicable Success Count,Transferable Enrollment Count,Transferable Success Count
Cypress,2018-2019,82147.0,59668.0,77426.0,56989.0,73934.0,54772.0
Cypress,2019-2020,79700.0,60678.0,77180.0,59086.0,74317.0,57094.0
Cypress,2020-2021,72585.0,57113.0,70641.0,55860.0,68039.0,54001.0
Cypress,2021-2022,66590.0,50149.0,65292.0,49392.0,62992.0,47892.0
Cypress,2022-2023,69981.0,49624.0,68490.0,48906.0,67499.0,48135.0
Cypress,2023-2024,76643.0,55561.0,75061.0,54800.0,73921.0,53900.0
Deanza,2014-2015,171204.0,128972.0,150959.0,113891.0,146152.0,110660.0
Deanza,2015-2016,167173.0,127389.0,149420.0,114148.0,145160.0,111367.0
Deanza,2016-2017,157544.0,120337.0,141163.0,108138.0,136902.0,105258.0
Deanza,2017-2018,146065.0,112036.0,131517.0,101139.0,127677.0,98513.0
Deanza,2018-2019,138454.0,107291.0,130012.0,100530.0,127333.0,98753.0
Deanza,2019-2020,131646.0,107980.0,125154.0,102629.0,123615.0,101471.0
Deanza,2020-2021,129479.0,104820.0,123962.0,100517.0,122414.0,99321.0
Deanza,2021-2022,114207.0,91683.0,109810.0,88198.0,108703.0,87369.0
Deanza,2022-2023,113222.0,90922.0,109387.0,87983.0,108700.0,87422.0
Deanza,2023-2024,77136.0,60288.0,75043.0,58701.0,74559.0,58330.0
Desert,2014-2015,57007.0,39861.0,50841.0,36106.0,47037.0,33692.0
Desert,2015-2016,59421.0,41113.0,52811.0,37184.0,49302.0,35099.0
Desert,2016-2017,59801.0,42339.0,53283.0,38488.0,49727.0,36126.0
Desert,2017-2018,63128.0,43912.0,56445.0,40108.0,52546.0,37471.0
Desert,2018-2019,63790.0,44236.0,59145.0,41792.0,54639.0,38827.0
Desert,2019-2020,62920.0,47413.0,61507.0,46555.0,57560.0,43776.0
Desert,2020-2021,59594.0,41620.0,58151.0,40826.0,55192.0,38762.0
